Report Name,Validation Report for Planning BOM Maintenance Application UI
Report Time,6/8/2026, 01:43:52 CST
Trnx Type,ONETIME,Run By,APPL_TEAM

Summary,BOM_PARAMETERS,BOM_PRODUCED,BOM_CONSUMED,ITEM_BOM_ROUTING
Validated Count,998,997,1000,998
Success Count,996,996,994,927
Error Count,2,1,6,71
One Time Load,No

Error Details are below:
ERR_LOG_ID,ENG_CHANGE_ID,File name,ROW NUMBER,BOM_ID,Validation_sequence,Validation_description,Validation_ERROR_DETAILS,Remediation message
1,EC6604073,BOM_PARAMETERS,361,BOM2_Item359_Location 23,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM2_Item359_Location 23 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
2,EC6604073,BOM_PARAMETERS,555,BOM1_Item554_Location 18,1001,Check if BOMID exists in both BOM Produced and Item BOM Routing,"This BOMID = BOM1_Item554_Location 18 does not exist in ( bom_produced.bom_id 
and/or item_bom_routing.bom_id )","RM: . Please ADD the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_produced.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
3,EC6604073,BOM_PRODUCED,493,BOM5_Item390_Location 16,1005,Check if BOMID exists in both BOM Parameters and Item BOM Routing,This BOMID = BOM5_Item390_Location 16 does not exist in ( bom_parameters.bom_id and/or item_bom_routing.bom_id ),"RM: . Please ADD the missing bom_id records to bom_parameters.bom_id  and/or item_bom_routing.bom_id
RS:  Allow users to add the missing bom_id records to bom_parameters.bom_id  and/or item_bom_routing.bom_id using ADD buttons"
4,EC6604073,BOM_CONSUMED,480,BOM3_Item206_Location 23,1010,Check that every Quantity Consumed Per is greater than 0,"This item, location combination with erp_bom_quantity_consumed_per = 0  is less than zero","RM: Please MODIFY the erp_bom_quantity_consumed_per to  (> 0 ) for this item, location combination
RS:  Show the Relevant Records in a Popup or new window  & Allow users to update this erp_bom_quantity_consumed_per value using MODIFY/UPDATE button"
5,EC6604073,BOM_CONSUMED,481,BOM3_Item206_Location 23,1010,Check that every Quantity Consumed Per is greater than 0,"This item, location combination with erp_bom_quantity_consumed_per = 0  is less than zero","RM: Please MODIFY the erp_bom_quantity_consumed_per to  (> 0 ) for this item, location combination
RS:  Show the Relevant Records in a Popup or new window  & Allow users to update this erp_bom_quantity_consumed_per value using MODIFY/UPDATE button"
6,EC6604073,BOM_CONSUMED,482,BOM3_Item206_Location 23,1010,Check that every Quantity Consumed Per is greater than 0,"This item, location combination with erp_bom_quantity_consumed_per = 0  is less than zero","RM: Please MODIFY the erp_bom_quantity_consumed_per to  (> 0 ) for this item, location combination
RS:  Show the Relevant Records in a Popup or new window  & Allow users to update this erp_bom_quantity_consumed_per value using MODIFY/UPDATE button"
7,EC6604073,BOM_CONSUMED,840,BOM2_Item359_Location 23,1011,Check that every BOMID exists in BOM Produced,This BOMID = BOM2_Item359_Location 23 does not exist in ( bom_produced.bom_id),
8,EC6604073,BOM_CONSUMED,1303,BOM1_Item554_Location 18,1011,Check that every BOMID exists in BOM Produced,This BOMID = BOM1_Item554_Location 18 does not exist in ( bom_produced.bom_id),
9,EC6604073,BOM_CONSUMED,1733,BOM2_Item737_Location 4,1011,Check that every BOMID exists in BOM Produced,This BOMID = BOM2_Item737_Location 4 does not exist in ( bom_produced.bom_id),
10,EC6604073,BOM_CONSUMED,1619,BOM5_Item684_Location 7,1012,Check for any duplicate combinations of BOMID and Consumed item,"There are duplicate values for this BOMID = BOM5_Item684_Location 7, item = <> and location = <>","RM: Please DELETE this extra bom_id records 
RS:  Allow users to DELETE the extra (bom_id, item, location) records using DELETE buttons"
11,EC6604073,BOM_CONSUMED,1874,BOM5_Item733_Location 1,1013,Check for any recursive records (item shown in the BOMID is the same as the item in the consumed item column),"This item=Item733, location=Item733, bomid = Item733 is a recursive consumption","RM: Please MODIFY/UPDATE the Consumed Item for this  bom_id, item, location combination  or Please DELETE this bom_id, item, location combination from bom_consumed to avoid recursive consumption
RS:  Show the Relevant Records in a Popup or new window  & Allow users to update/delete records"
12,EC6604073,ITEM_BOM_ROUTING,510,PRIMARY_Item175_Location 5,1017,Check Co-Product mapping,"This item= Item1052, location= Location 5 combination with erp_co_product_association= 1 does not exist in bom_produced with  erp_bom_qty_produced_per < 1","RM: Please ADD the missing CoProduct Record
RS: Allow update/add"
13,EC6604073,ITEM_BOM_ROUTING,1528,BOM1_Item554_Location 18,1018,Check if each BOMID exists in both BOM Parameters and BOM Produced,"This BOMID = BOM1_Item554_Location 18 does not exist in ( bom_produced.bom_id 
and/or bom_parameters.bom_id )","RM: . Please ADD the missing bom_id records
RS:  Allow users to add records"
14,EC6604073,ITEM_BOM_ROUTING,2027,BOM2_Item737_Location 4,1018,Check if each BOMID exists in both BOM Parameters and BOM Produced,"This BOMID = BOM2_Item737_Location 4 does not exist in ( bom_produced.bom_id 
and/or bom_parameters.bom_id )","RM: . Please ADD the missing bom_id records
RS:  Allow users to add records"
15,EC6604073,ITEM_BOM_ROUTING,334,BOM2_Item114_Location 2,1019,Check duplicate combinations,"There are duplicate values for this BOMID = BOM2_Item114_Location 2, item = <> and routing_id = <>","RM: Please DELETE duplicate records
RS: Allow delete"
16,EC6604073,ITEM_BOM_ROUTING,334,BOM2_Item114_Location 2,1020,Check duplicate priority,There are duplicate values for this BOMID = BOM2_Item114_Location 2 and erp_item_bom_routing_priority = <>,
17,EC6604073,ITEM_BOM_ROUTING,575,BOM6_Item202_Location 20,1019,Check duplicate combinations,"There are duplicate values for this BOMID = BOM6_Item202_Location 20, item = <> and routing_id = <>","RM: Please DELETE duplicate records
RS: Allow delete"
18,EC6604073,ITEM_BOM_ROUTING,575,BOM6_Item202_Location 20,1020,Check duplicate priority,There are duplicate values for this BOMID = BOM6_Item202_Location 20 and erp_item_bom_routing_priority = <>,
19,EC6604073,ITEM_BOM_ROUTING,99,BOM4_Item032_Location 25,1020,Check duplicate priority,There are duplicate values for this BOMID = BOM4_Item032_Location 25 and erp_item_bom_routing_priority = <>,
20,EC6604073,ITEM_BOM_ROUTING,100,BOM4_Item032_Location 25,1020,Check duplicate priority,There are duplicate values for this BOMID = BOM4_Item032_Location 25 and erp_item_bom_routing_priority = <>,
21,EC6604073,ITEM_BOM_ROUTING,172,BOM1_Item057_Location 1,1020,Check duplicate priority,There are duplicate values for this BOMID = BOM1_Item057_Location 1 and erp_item_bom_routing_priority = <>,
22,EC6604073,ITEM_BOM_ROUTING,372,BOM1_Item127_Location 18,1020,Check duplicate priority,There are duplicate values for this BOMID = BOM1_Item127_Location 18 and erp_item_bom_routing_priority = <>,
